route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
862,5396A6507,637285A5396B6507,,Newark,0,,2,0
862,5395A6507,637435A5395B6507,,World Trade Center,1,,1,0
862,5459A6540,649864A5459B6540,,World Trade Center,1,,1,0
1024,5396A6507,636572A5396B6507,,33rd via Hoboken,1,,11,0
860,5459A6540,649424A5459B6540,,Hoboken,0,,7,0
859,5394A6507,636193A5394B6507,,33rd Street,1,,3,0
859,5394A6507,636249A5394B6507,,Hoboken,0,,9,0
862,5396A6507,637299A5396B6507,,World Trade Center,1,,1,0
859,5459A6540,649188A5459B6540,,Hoboken,0,,9,0
860,5459A6540,649295A5459B6540,,World Trade Center,1,,5,0
862,5396A6507,637261A5396B6507,,Newark,0,,2,0
862,5394A6507,637478A5394B6507,,Newark,0,,2,0
860,5394A6507,636535A5394B6507,,Hoboken,0,,7,0
860,5459A6540,649411A5459B6540,,Hoboken,0,,7,0
862,5395A6507,637380A5395B6507,,Newark,0,,2,0
860,5394A6507,636519A5394B6507,,Hoboken,0,,7,0
859,5394A6507,636159A5394B6507,,33rd Street,1,,3,0
861,5459A6540,649540A5459B6540,,33rd Street,1,,4,0
861,5459A6540,649615A5459B6540,,Journal Square,0,,6,0
860,5459A6540,649383A5459B6540,,World Trade Center,1,,5,0
1024,5396A6507,636685A5396B6507,,Journal Square via Hoboken,0,,8,0
1024,5459A6540,649709A5459B6540,,Journal Square via Hoboken,0,,8,0
861,5394A6507,637065A5394B6507,,33rd Street,1,,4,0
862,5394A6507,637737A5394B6507,,World Trade Center,1,,1,0
859,5459A6540,649224A5459B6540,,Hoboken,0,,9,0
860,5459A6540,649426A5459B6540,,Hoboken,0,,7,0
1024,5395A6507,636805A5395B6507,,33rd via Hoboken,1,,11,0
862,5394A6507,637657A5394B6507,,World Trade Center,1,,1,0
860,5394A6507,636515A5394B6507,,Hoboken,0,,7,0
860,5394A6507,636523A5394B6507,,Hoboken,0,,7,0
860,5394A6507,636467A5394B6507,,Hoboken,0,,7,0
862,5394A6507,637632A5394B6507,,World Trade Center,1,,1,0
862,5394A6507,637555A5394B6507,,Newark,0,,2,0
860,5394A6507,636432A5394B6507,,World Trade Center,1,,5,0
859,5394A6507,636161A5394B6507,,33rd Street,1,,3,0
862,5396A6507,637313A5396B6507,,World Trade Center,1,,1,0
1024,5396A6507,636672A5396B6507,,Journal Square via Hoboken,0,,8,0
861,5459A6540,649593A5459B6540,,Journal Square,0,,6,0
1024,5396A6507,636716A5396B6507,,Journal Square via Hoboken,0,,8,0
862,5459A6540,649774A5459B6540,,Newark,0,,2,0
860,5459A6540,649372A5459B6540,,World Trade Center,1,,5,0
1024,5396A6507,636717A5396B6507,,Journal Square via Hoboken,0,,8,0
861,5394A6507,636996A5394B6507,,33rd Street,1,,4,0
861,5459A6540,649536A5459B6540,,33rd Street,1,,4,0
1024,5395A6507,636728A5395B6507,,33rd via Hoboken,1,,11,0
861,5394A6507,636972A5394B6507,,33rd Street,1,,4,0
862,5396A6507,637273A5396B6507,,Newark,0,,2,0
860,5459A6540,649291A5459B6540,,World Trade Center,1,,5,0
1024,5396A6507,636722A5396B6507,,Journal Square via Hoboken,0,,8,0
862,5394A6507,637676A5394B6507,,World Trade Center,1,,1,0
861,5459A6540,649532A5459B6540,,33rd Street,1,,4,0
861,5394A6507,637134A5394B6507,,Journal Square,0,,6,0
859,5459A6540,649105A5459B6540,,33rd Street,1,,3,0
860,5459A6540,649363A5459B6540,,World Trade Center,1,,5,0
859,5459A6540,649180A5459B6540,,33rd Street,1,,3,0
859,5394A6507,636317A5394B6507,,Hoboken,0,,9,0
860,5459A6540,649475A5459B6540,,Hoboken,0,,7,0
861,5459A6540,649664A5459B6540,,Journal Square,0,,6,0
1024,5396A6507,636566A5396B6507,,33rd via Hoboken,1,,11,0
1024,5395A6507,636775A5395B6507,,33rd via Hoboken,1,,11,0
1024,5395A6507,636832A5395B6507,,33rd via Hoboken,1,,11,0
860,5459A6540,649479A5459B6540,,Hoboken,0,,7,0
862,5459A6540,649843A5459B6540,,World Trade Center,1,,1,0
862,5394A6507,637771A5394B6507,,World Trade Center,1,,1,0
859,5394A6507,636142A5394B6507,,33rd Street,1,,3,0
861,5394A6507,637144A5394B6507,,Journal Square,0,,6,0
859,5394A6507,636216A5394B6507,,33rd Street,1,,3,0
859,5459A6540,649246A5459B6540,,Hoboken,0,,9,0
859,5394A6507,636223A5394B6507,,33rd Street,1,,3,0
862,5394A6507,637699A5394B6507,,World Trade Center,1,,1,0
859,5394A6507,636143A5394B6507,,33rd Street,1,,3,0
1024,5395A6507,636862A5395B6507,,Journal Square via Hoboken,0,,8,0
862,5394A6507,637581A5394B6507,,Newark,0,,2,0
862,5396A6507,637348A5396B6507,,World Trade Center,1,,1,0
862,5459A6540,649813A5459B6540,,Newark,0,,2,0
860,5459A6540,649435A5459B6540,,Hoboken,0,,7,0
1024,5395A6507,636811A5395B6507,,33rd via Hoboken,1,,11,0
862,5459A6540,649760A5459B6540,,Newark,0,,2,0
860,5394A6507,636488A5394B6507,,Hoboken,0,,7,0
861,5459A6540,649680A5459B6540,,Journal Square,0,,6,0
861,5459A6540,649497A5459B6540,,33rd Street,1,,4,0
861,5394A6507,636968A5394B6507,,33rd Street,1,,4,0
860,5459A6540,649402A5459B6540,,Hoboken,0,,7,0
861,5394A6507,637226A5394B6507,,Journal Square,0,,6,0
862,5394A6507,637544A5394B6507,,Newark,0,,2,0
862,5459A6540,649925A5459B6540,,World Trade Center,1,,1,0
862,5396A6507,637255A5396B6507,,Newark,0,,2,0
862,5394A6507,637508A5394B6507,,Newark,0,,2,0
862,5459A6540,649858A5459B6540,,World Trade Center,1,,1,0
859,5459A6540,649135A5459B6540,,33rd Street,1,,3,0
861,5394A6507,637195A5394B6507,,Journal Square,0,,6,0
862,5459A6540,649721A5459B6540,,Newark,0,,2,0
862,5395A6507,637411A5395B6507,,Newark,0,,2,0
861,5394A6507,637100A5394B6507,,33rd Street,1,,4,0
861,5394A6507,637078A5394B6507,,33rd Street,1,,4,0
861,5394A6507,637028A5394B6507,,33rd Street,1,,4,0
1024,5395A6507,636904A5395B6507,,Journal Square via Hoboken,0,,8,0
862,5395A6507,637466A5395B6507,,World Trade Center,1,,1,0
862,5394A6507,637655A5394B6507,,World Trade Center,1,,1,0
861,5394A6507,637007A5394B6507,,33rd Street,1,,4,0
1024,5395A6507,636837A5395B6507,,Journal Square via Hoboken,0,,8,0
862,5395A6507,637379A5395B6507,,Newark,0,,2,0
1024,5395A6507,636863A5395B6507,,Journal Square via Hoboken,0,,8,0
859,5394A6507,636166A5394B6507,,33rd Street,1,,3,0
861,5459A6540,649667A5459B6540,,Journal Square,0,,6,0
862,5396A6507,637342A5396B6507,,World Trade Center,1,,1,0
859,5459A6540,649168A5459B6540,,33rd Street,1,,3,0
1024,5394A6507,636963A5394B6507,,Journal Square via Hoboken,0,,8,0
862,5395A6507,637457A5395B6507,,World Trade Center,1,,1,0
861,5459A6540,649586A5459B6540,,Journal Square,0,,6,0
862,5395A6507,637397A5395B6507,,Newark,0,,2,0
860,5459A6540,649331A5459B6540,,World Trade Center,1,,5,0
1024,5395A6507,636756A5395B6507,,33rd via Hoboken,1,,11,0
1024,5396A6507,636657A5396B6507,,Journal Square via Hoboken,0,,8,0
861,5394A6507,636993A5394B6507,,33rd Street,1,,4,0
859,5394A6507,636208A5394B6507,,33rd Street,1,,3,0
859,5394A6507,636185A5394B6507,,33rd Street,1,,3,0
859,5394A6507,636324A5394B6507,,Hoboken,0,,9,0
862,5395A6507,637438A5395B6507,,World Trade Center,1,,1,0
1024,5394A6507,636954A5394B6507,,Journal Square via Hoboken,0,,8,0
861,5394A6507,637049A5394B6507,,33rd Street,1,,4,0
860,5459A6540,649393A5459B6540,,Hoboken,0,,7,0
860,5394A6507,636416A5394B6507,,World Trade Center,1,,5,0
1024,5396A6507,636648A5396B6507,,Journal Square via Hoboken,0,,8,0
860,5459A6540,649337A5459B6540,,World Trade Center,1,,5,0
860,5459A6540,649350A5459B6540,,World Trade Center,1,,5,0
862,5396A6507,637340A5396B6507,,World Trade Center,1,,1,0
1024,5396A6507,636622A5396B6507,,33rd via Hoboken,1,,11,0
1024,5395A6507,636745A5395B6507,,33rd via Hoboken,1,,11,0
861,5394A6507,637086A5394B6507,,33rd Street,1,,4,0
862,5394A6507,637568A5394B6507,,Newark,0,,2,0
860,5394A6507,636551A5394B6507,,Hoboken,0,,7,0
860,5394A6507,636486A5394B6507,,Hoboken,0,,7,0
1024,5395A6507,636808A5395B6507,,33rd via Hoboken,1,,11,0
1024,5395A6507,636819A5395B6507,,33rd via Hoboken,1,,11,0
859,5459A6540,649160A5459B6540,,33rd Street,1,,3,0
861,5459A6540,649567A5459B6540,,33rd Street,1,,4,0
1024,5394A6507,636961A5394B6507,,Journal Square via Hoboken,0,,8,0
1024,5396A6507,636594A5396B6507,,33rd via Hoboken,1,,11,0
861,5459A6540,649535A5459B6540,,33rd Street,1,,4,0
862,5459A6540,649884A5459B6540,,World Trade Center,1,,1,0
862,5396A6507,637349A5396B6507,,World Trade Center,1,,1,0
859,5459A6540,649225A5459B6540,,Hoboken,0,,9,0
859,5459A6540,649256A5459B6540,,Hoboken,0,,9,0
862,5394A6507,637569A5394B6507,,Newark,0,,2,0
860,5459A6540,649463A5459B6540,,Hoboken,0,,7,0
862,5459A6540,649909A5459B6540,,World Trade Center,1,,1,0
861,5394A6507,637014A5394B6507,,33rd Street,1,,4,0
862,5396A6507,637304A5396B6507,,World Trade Center,1,,1,0
861,5459A6540,649543A5459B6540,,33rd Street,1,,4,0
1024,5395A6507,636802A5395B6507,,33rd via Hoboken,1,,11,0
861,5459A6540,649556A5459B6540,,33rd Street,1,,4,0
859,5459A6540,649191A5459B6540,,Hoboken,0,,9,0
859,5394A6507,636320A5394B6507,,Hoboken,0,,9,0
860,5394A6507,636404A5394B6507,,World Trade Center,1,,5,0
1024,5395A6507,636875A5395B6507,,Journal Square via Hoboken,0,,8,0
1024,5395A6507,636917A5395B6507,,Journal Square via Hoboken,0,,8,0
1024,5396A6507,636691A5396B6507,,Journal Square via Hoboken,0,,8,0
861,5459A6540,649578A5459B6540,,33rd Street,1,,4,0
859,5459A6540,649219A5459B6540,,Hoboken,0,,9,0
862,5459A6540,649878A5459B6540,,World Trade Center,1,,1,0
862,5394A6507,637772A5394B6507,,World Trade Center,1,,1,0
859,5394A6507,636228A5394B6507,,33rd Street,1,,3,0
861,5459A6540,649489A5459B6540,,33rd Street,1,,4,0
1024,5396A6507,636638A5396B6507,,33rd via Hoboken,1,,11,0
1024,5396A6507,636624A5396B6507,,33rd via Hoboken,1,,11,0
862,5459A6540,649819A5459B6540,,Newark,0,,2,0
861,5459A6540,649583A5459B6540,,33rd Street,1,,4,0
1024,5395A6507,636741A5395B6507,,33rd via Hoboken,1,,11,0
861,5459A6540,649582A5459B6540,,33rd Street,1,,4,0
862,5396A6507,637267A5396B6507,,Newark,0,,2,0
1024,5395A6507,636763A5395B6507,,33rd via Hoboken,1,,11,0
859,5394A6507,636280A5394B6507,,Hoboken,0,,9,0
861,5459A6540,649580A5459B6540,,33rd Street,1,,4,0
861,5459A6540,649655A5459B6540,,Journal Square,0,,6,0
861,5394A6507,636982A5394B6507,,33rd Street,1,,4,0
860,5459A6540,649318A5459B6540,,World Trade Center,1,,5,0
859,5394A6507,636225A5394B6507,,33rd Street,1,,3,0
1024,5396A6507,636588A5396B6507,,33rd via Hoboken,1,,11,0
862,5459A6540,649753A5459B6540,,Newark,0,,2,0
859,5459A6540,649218A5459B6540,,Hoboken,0,,9,0
859,5459A6540,649264A5459B6540,,Hoboken,0,,9,0
1024,5395A6507,636889A5395B6507,,Journal Square via Hoboken,0,,8,0
861,5459A6540,649675A5459B6540,,Journal Square,0,,6,0
859,5459A6540,649116A5459B6540,,33rd Street,1,,3,0
861,5394A6507,636998A5394B6507,,33rd Street,1,,4,0
860,5394A6507,636415A5394B6507,,World Trade Center,1,,5,0
859,5394A6507,636335A5394B6507,,Hoboken,0,,9,0
860,5394A6507,636478A5394B6507,,Hoboken,0,,7,0
859,5459A6540,649162A5459B6540,,33rd Street,1,,3,0
862,5395A6507,637419A5395B6507,,World Trade Center,1,,1,0
862,5394A6507,637707A5394B6507,,World Trade Center,1,,1,0
861,5394A6507,636999A5394B6507,,33rd Street,1,,4,0
861,5459A6540,649520A5459B6540,,33rd Street,1,,4,0
1024,5395A6507,636750A5395B6507,,33rd via Hoboken,1,,11,0
861,5459A6540,649658A5459B6540,,Journal Square,0,,6,0
1024,5396A6507,636579A5396B6507,,33rd via Hoboken,1,,11,0
